price,bedroom,bathroom,area(sqft),country,city,address,propert_type,purpose,furnishing,completion_status,handover,project_name
699999.0,2.0,1.0,479.0, UAE, Dubai, Business Bay,Apartment,Sale,Unfurnished,Ready,Q4 2025,Safeer Tower 2
16999999.0,5.0,6.0,5890.0, UAE, Dubai, Arabian Ranches,Villa,Sale,Unfurnished,Ready,Q4 2025,Aseel
1330000.0,1.0,2.0,826.0, UAE, Dubai, Al Sufouh,Apartment,Sale,Unfurnished,Ready,Q4 2025,Aseel
1279710.0,1.0,1.0,893.0, UAE, Dubai, Jumeirah Village Circle (JVC),Apartment,Sale,Furnished,Off-Plan,Q2 2027,Electra
765944.0,2.0,1.0,452.0, UAE, Dubai, Jumeirah Village Circle (JVC),Apartment,Sale,Furnished,Off-Plan,Q2 2027,Electra
2920393.0,3.0,3.0,2018.0, UAE, Dubai, Al Furjan,Apartment,Sale,Unfurnished,Off-Plan,Q4 2027,Avenue Residence 7
869286.0,2.0,1.0,518.0, UAE, Dubai, Jumeirah Village Circle (JVC),Apartment,Sale,Furnished,Off-Plan,Q2 2027,Electra
2712568.0,3.0,3.0,2037.0, UAE, Dubai, Al Furjan,Apartment,Sale,Unfurnished,Off-Plan,Q4 2027,Avenue Residence 7
2101341.0,2.0,2.0,1489.0, UAE, Dubai, Al Furjan,Apartment,Sale,Unfurnished,Off-Plan,Q4 2027,Avenue Residence 7
3049777.0,3.0,5.0,2600.0, UAE, Dubai, Liwan,Apartment,Sale,Unfurnished,Off-Plan,Q2 2028,Empire Lake Views
8200000.0,3.0,3.0,2186.0, UAE, Dubai, Umm Suqeim,Apartment,Sale,Unfurnished,Off-Plan,Q2 2026,Jomana 8
5500000.0,2.0,3.0,2518.0, UAE, Dubai, Business Bay,Apartment,Sale,Unfurnished,Ready,Q2 2026,Terraces Marasi Drive
647000.0,2.0,1.0,499.0, UAE, Dubai, Business Bay,Apartment,Sale,Furnished,Ready,Q2 2026,Terraces Marasi Drive
4900000.0,2.0,3.0,2103.0, UAE, Dubai, Business Bay,Apartment,Sale,Unfurnished,Ready,Q2 2026,Terraces Marasi Drive
5200000.0,2.0,3.0,2142.0, UAE, Dubai, Business Bay,Apartment,Sale,Unfurnished,Ready,Q2 2026,Terraces Marasi Drive
4350000.0,2.0,3.0,2290.0, UAE, Dubai, Business Bay,Apartment,Sale,Unfurnished,Ready,Q2 2026,Terraces Marasi Drive
1742768.0,1.0,2.0,912.0, UAE, Dubai, Business Bay,Apartment,Sale,Unfurnished,Off-Plan,Q1 2029,Tiger Sky Tower
